id,model_name,url,type,params_billion,typical_use,est_vram_4bit_gb,approx_vram_gb,vram_tier,kv_cache_support,sharding,quant_formats,determinism_tip,good_to_know,notes,context_window_tokens,max_output_tokens,tokens_per_second_note,input_modalities,image_formats_example,prompt_template,tokenizer,framework_support,quantization_available,recommended_batch_size_4bit,latency_note,throughput_note,io_note,compat_note,good_to_know_2
1,Llama-3.1-8B-Instruct,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,LLM,8.0,General chat / coding,6–7,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,128K ctx family; popular 8B.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Llama-3 Instruct (meta),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
2,Mistral-7B-v0.3,https://huggingface.co/mistralai/Mistral-7B-v0.3,LLM,7.3,General chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Efficient 7B; many finetunes.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Mistral-Instruct (alpaca-like),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
3,Qwen2.5-7B-Instruct,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,LLM,7.0,General chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Long-context variants exist.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,ChatML (Qwen),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
4,gemma-2-9b-it,https://huggingface.co/google/gemma-2-9b-it,LLM,9.0,General chat / reasoning,6–8,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Good small generalist.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
5,stablelm-2-12b-chat,https://huggingface.co/stabilityai/stablelm-2-12b-chat,LLM,12.1,General chat,8–10,8.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Multilingual small model.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
6,Mixtral-8x7B-Instruct-v0.1,https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1,LLM (MoE),45.0,General / RAG,24–28,24.0,24–<32 GB,Yes (Transformer decoder; vLLM/HF),Recommended (tensor parallel via HF Accelerate / vLLM / Deepspeed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",MoE: active params << total; VRAM driven by active experts; good throughput on GPU.,MoE (~12B active); 4-bit fits 24–28 GB.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
7,starcoder2-15b,https://huggingface.co/bigcode/starcoder2-15b,Code LLM,15.0,Code generation,10–12,10.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,16K ctx; permissive.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Code-style prompts; tool/codemodel format,Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
8,DeepSeek-Coder-V2-Instruct,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct,Code LLM (MoE),16.0,Coding / fill-in-the-middle,11–13,11.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",MoE: active params << total; VRAM driven by active experts; good throughput on GPU.,MoE family; strong coding.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
9,CodeLlama-13b-Instruct-hf,https://huggingface.co/codellama/CodeLlama-13b-Instruct-hf,Code LLM,13.0,Coding / infill,9–11,9.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Solid OSS code baseline.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Code-style prompts; tool/codemodel format,Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
10,Llama-3.2-3B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,LLM,3.0,Lightweight chat,3–4,3.0,2–<4 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Good for small GPUs.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Llama-3 Instruct (meta),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
